"Instructions for editing this spreadheet (adding new Infores rows, or editting existing ones) can be found here: https://docs.google.com/document/d/177sOmjTueIK4XKJ0GjxsARg909CaU71tReIehAp5DDo/edit#bookmark=id.8sdy3vk2umkd ",,,,,,,,,,,,,,,,,,,,,,
Status,Quesions ,Question for . . . ,Answers,Provenance Category,name,id,iri,synonym,url,category,translator category,source,has contributor,description,data access url,translator registry url,,,,,,original order
released,"This is a good example to review together to thelp us come up with some general principles / heuristics about defining short names /ids . ''drh' was proposed as short name - but this likely not meaningful to users as it is not an acronym in common use, and wont give drug repurposing hub as a top hit in a google search.  If the rule is that the short name needs to be meaningful to most users, and make it clear what the resource is, we might have to spell this one out?  ","Molecular Data Provider, SRI","(VD) `drug-repurposing-hub' is fine and you are right, DRH is not widely used as an acronym.",,Drug Repurposing Hub,infores:drug-repurposing-hub,"https://w3id.org/infores/
drug-repurposing-hub",,https://clue.io/repurposing,Information Resource,KP,,,,,,,,,,,142
released,,,,,American Academy of Clinical Toxicology Clinical Trials Transformation Initiative ClinicalTrials.gov,infores:aact-ctti-clinical-trials,https://w3id.org/infores/aact-ctti-clinical-trials,,https://aact.ctti-clinicaltrials.org/,Information Resource,KP,,,,,,,,,,,96
released,this sounds like more of a utiliy?  Do we need infore ids for utilities?,SRI,,,Answer coalesce,infores:answer-coalesce,https://w3id.org/infores/answer-coalesce,,,Information Resource,ARA,,['Ranking Agent'],"Answer coalesce: This serivce accepts a TRAPI 1.1 object containing answers and returns answers that have been coalesced by property, graph or ontology analysis.","[{'description': 'Default server', 'url': 'https://answercoalesce.renci.org/1.1'}]",http://smart-api.info/registry?q=fb11d7646f98762360d2832d0f06578b,,,,,,1
released,,,,,ARAGORN,infores:aragorn,https://w3id.org/infores/aragorn,,,Information Resource,ARA,,['Ranking Agent'],ARAGORN: Performs a query operation which compiles data from numerous ARAGORN ranking agent services.,"[{'description': 'Default server', 'url': 'https://aragorn.renci.org/1.1'}]",http://smart-api.info/registry?q=83dc344b290744ab1554dd7411288e33,,,,,,2
released,,,,,ARAGORN Ranker,infores:aragorn-ranker,https://w3id.org/infores/aragorn-ranker,,,Information Resource,ARA,,['Ranking Agent'],"ARAGORN Ranker: The ranker used by the ARAGORN ARA, which takes a TRAPI 1.0 message containing answers, and calculates numerical scores for each answer.","[{'description': 'Default server', 'url': 'https://aragorn-ranker.renci.org'}]",http://smart-api.info/registry?q=0a29abdf1b63a762ee93d29f29a8db67,,,,,,3
released,,,,,ARAX Translator Reasoner,infores:arax,https://w3id.org/infores/arax-reasoner,,,Information Resource,ARA,,['Expander Agent'],TRAPI 1.1 endpoint for the NCATS Biomedical Translator Reasoner called ARAX,[{'url': 'https://arax.ncats.io/api/arax/v1.1'}],http://smart-api.info/registry?q=602edb304409ded55faecf0364a70a7d,,,,,,4
draft,"Do we represent the UMLS representation of these terminologies specifically here (e.g. 'atc-codes-umls'), or more generically (e.g. just 'atc-codes')",SRI,,,Anatomical Therapeutic Chemical (ATC) Codes (from UMLS),infores:atc-codes-umls,https://w3id.org/infores/atc-codes-umls,,,Information Resource,KP,,,,,,,,,,,306
released,,,,,Autophagy Ontology,infores:atgo,https://w3id.org/infores/atgo,ATGO,http://atgo.ucsd.edu/,Information Resource,KP,,,,,,,,,,,97
released,,Clinical Data Services Provider,"COHD uses Athena to retrieve OMOP concept definitions (e.g., name, domain)",,Athena,infores:athena,https://w3id.org/infores/athena,,https://athena.ohdsi.org/search-terms/start,Information Resource,KP,,,,https://athena.ohdsi.org/api/,,,,,,,228
released,,Ranking Agent,"CB: Separate APIs stood up for serving TRAPI 1.0 and TRAPi 1.1 compliant data created by the same version of the the Automat tool.  This is why the TRAPI version is baked into the API name. To avoid resource names that look like they have six digits in their version (e.g. 'automat-biolink-trapi-1-1-0.1.0.0'), we will collapse the trapi version part of the resource name from 'trapi-1-1-0'  to 'trapi11'. It's ugly, but the best we can think to do right now.",,Automat Biolink,infores:automat-biolink,https://w3id.org/infores/automat-biolink,,,Information Resource,KP,infores:biolink,['Ranking Agent'],A graph based on the [Monarch API (https://api.monarchinitiative.org/)](https://api.monarchinitiative.org/).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/biolink/1.1'}]",http://smart-api.info/registry?q=05a5f5d18b4f2c532367561778571c9a,,,,,,5
released,,,,,Automat Chemical normalization (trapi v-1.1.0),infores:automat-chem-norm,https://w3id.org/infores/automat-chem-norm,,,Information Resource,KP,,['Ranking Agent'],"A graph  linking together similar compounds.  Two compounds are linked by an edge in the graph if they are equivalent when charge, salts, and stereochemistry are ignored.","[{'description': 'Default server', 'url': 'https://automat.renci.org/chemical-normalization'}]",http://smart-api.info/registry?q=b0b36734630fdeb93252ebab7939535e,,,,,,7
draft,,,,,Automat Cord19,infores:automat-cord19,https://w3id.org/infores/automat-cord19,,,Information Resource,KP,infores:cord19,['Ranking Agent'],A literature co-occurence graph based on parsing the CORD-19 paper set.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/cord19/1.2'}]",,,,,,,
released,,,,,Automat Chembio,infores:automat-chembio,https://w3id.org/infores/automat-chembio,,,Information Resource,KP,infores:chem2bio2rdf,['Ranking Agent'],A graph based on [chem2bio2rdf (http://cheminfov.informatics.indiana.edu:8080/c2b2r/)](http://cheminfov.informatics.indiana.edu:8080/c2b2r/).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/chembio/1.1'}]",http://smart-api.info/registry?q=76cd06cca954663972cffd4f74b179bd,,,,,,6
released,,Ranking Agent,CB: the automat resource is their analysis of cord-19 data - cord19-scigraph - automat-cord19-scigraph. no need for separate infores for 'ord19-scigraph'.,,Automat Cord19 Scibite (trapi v-1.1.0),infores:automat-cord19-scibite,https://w3id.org/infores/automat-cord19-scibite,,,Information Resource,KP,"infores:cord19-scibite, infores:cord19",['Ranking Agent'],A literature co-occurence graph based on the [scibite parsing (https://github.com/SciBiteLabs/CORD19)](https://github.com/SciBiteLabs/CORD19) of the CORD-19 paper set.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/cord19-scibite/1.1'}]",http://smart-api.info/registry?q=4d2dfc41e256dc6e652e648eee7829a9,,,,,,8
released,,,,,Automat Cord19 Scigraph (trapi v-1.1.0),infores:automat-cord19-scigraph,https://w3id.org/infores/automat-cord19-scigraph,,,Information Resource,KP,infores:cord19,['Ranking Agent'],A literature co-occurence graph based on scigraph parsing of the CORD-19 paper set. All triples contain covid-19 as either subject or object.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/cord19-scigraph/1.1'}]",http://smart-api.info/registry?q=4d242ec3f86786729f109b0e9088a0d7,,,,,,9
released,,,,,Automat Covid Phenotypes (trapi v-1.1.0),infores:automat-covid-phenotypes,https://w3id.org/infores/automat-covid-phenotypes,,,Information Resource,KP,infores:cord19,['Ranking Agent'],A hand-curated graph of phenotypes of covid-19.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/covid-phenotypes/1.1'}]",http://smart-api.info/registry?q=4208a6c85c109f7e770219d3234d12a2,,,,,,10
released,,Ranking Agent,CB: this is covid phenotypes plus other sources,,Automat Covidkop KG (trapi v-1.1.0),infores:automat-covidkop,https://w3id.org/infores/automat-covidkop,,,Information Resource,KP,,['Ranking Agent'],Knowledge graph constructed from Robokop KG by incorporating Cord-19 dataset and other covid related knowledge sources.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/covidkopkg/1.1'}]",http://smart-api.info/registry?q=a192b537c4113cc585088511574dbe64,,,,,,11
released,,,,,Automat CTD (trapi v-1.1.0),infores:automat-ctd,https://w3id.org/infores/automat-ctd,,,Information Resource,KP,infores:ctd,['Ranking Agent'],A graph based on the [Comparative Toxicogenomics Database (ctdbase.org)](ctdbase.org).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/ctd/1.1'}]",http://smart-api.info/registry?q=bd612e18f86d9097b02c0d83344b46b7,,,,,,12
draft,,,,,Automat DrugCentral,infores:automat-drug-central,https://w3id.org/infores/automat-drug-central,,,Information Resource,KP,infores:drug-central,['Ranking Agent'],A graph based on DrugCentral,,,,,,,,
released,,,,,Automat Foodb (trapi v-1.1.0),infores:automat-foodb,https://w3id.org/infores/automat-foodb,,,Information Resource,KP,infores:foodb,['Ranking Agent'],A graph of the food/chemical relationships in [foodb.ca](foodb.ca).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/foodb/1.1'}]",http://smart-api.info/registry?q=1fd2f4cc6b3b6b1f7cda594b00607270,,,,,,13
released,,,,,Automat GTEx (trapi v-1.1.0),infores:automat-gtex,https://w3id.org/infores/automat-gtex,,,Information Resource,KP,infores:gtex,['Ranking Agent'],A graph containing eqtl and sqtl information from [GTEx Portal (https://gtexportal.org/home/)](https://gtexportal.org/home/). Also includes genes that the variants lie within or near.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/gtex/1.1'}]",http://smart-api.info/registry?q=62811dab25864feb191aad0b23503813,,,,,,14
released,,,,,Automat Gtopdb (trapi v-1.1.0),infores:automat-gtopdb,https://w3id.org/infores/automat-gtopdb,,,Information Resource,KP,infores:gtopdb,['Ranking Agent'],A graph based on the [IUPHAR Guide to Pharmacology (https://www.guidetopharmacology.org/)](https://www.guidetopharmacology.org/),"[{'description': 'Default server', 'url': 'https://automat.renci.org/gtopdb/1.1'}]",http://smart-api.info/registry?q=c8b1619535bd598406049f4dc51e1702,,,,,,15
draft,,,,,Automat GWAS Catalog,infores:automat-gwas-catalog,https://w3id.org/infores/automat-gwas-catalog,,,Information Resource,KP,infores:gwas-catalog,['Ranking Agent'],A graph based on the GWAS Catalog,,,,,,,,
released,,,,,Automat Hetio (trapi v-1.1.0),infores:automat-hetio,https://w3id.org/infores/automat-hetio,,,Information Resource,KP,infores:hetio,['Ranking Agent'],A graph based on [hetionet (het.io)](het.io).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/hetio/1.1'}]",http://smart-api.info/registry?q=3a8ad755bbd6f4fdfc0a18c8020d6d58,,,,,,16
released,,,,,Automat HGNC (trapi v-1.1.0),infores:automat-hgnc,https://w3id.org/infores/automat-hgnc,,,Information Resource,KP,infores:hgnc,['Ranking Agent'],Gene families from [HGNC (genenames.org)](genenames.org).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/hgnc/1.1'}]",http://smart-api.info/registry?q=255ea57924924b721919b9ee17a07894,,,,,,17
released,,,,,Automat HMDB (trapi v-1.1.0),infores:automat-hmdb,https://w3id.org/infores/automat-hmdb,,,Information Resource,KP,infores:hmdb,['Ranking Agent'],A graph based on the [Human Metabolome DataBase (hmdb.org)](hmdb.org).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/hmdb/1.1'}]",http://smart-api.info/registry?q=c3e55e3a28cf14e147b55e6e09b32b9b,,,,,,18
released,,,,,Automat Human GOA (trapi v-1.1.0),infores:automat-human-goa,https://w3id.org/infores/automat-human-goa,,,Information Resource,KP,infores:goa,['Ranking Agent'],Human Gene Ontology Annotations from the GO consortium.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/human-goa/1.1'}]",http://smart-api.info/registry?q=2c9fff2f09c71302659faeb515bbb2b8,,,,,,19
released,,,,,Automat IntAct (trapi v-1.1.0),infores:automat-intact,https://w3id.org/infores/automat-intact,,,Information Resource,KP,infores:intact,['Ranking Agent'],Molecular (Gene-Gene) interactions from [EBI IntAct (https://www.ebi.ac.uk/intact/)](https://www.ebi.ac.uk/intact/).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/intact/1.1'}]",http://smart-api.info/registry?q=bee0cc86f86d88b83f613b674e2bd92e,,,,,,20
released,,,,,Automat KEGG (trapi v-1.1.0),infores:automat-kegg,https://w3id.org/infores/automat-kegg,,,Information Resource,KP,infores:kegg,['Ranking Agent'],A graph based on the [Kyoto Encyclopedia of Genes and Genomes (https://www.genome.jp/kegg/)](https://www.genome.jp/kegg/).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/kegg/1.1'}]",http://smart-api.info/registry?q=305a2909830b776df7a02b7207e4acc5,,,,,,21
released,,,,,Automat MyChem (trapi v-1.1.0),infores:automat-mychem-info,https://w3id.org/infores/automat-mychem-info,,,Information Resource,KP,infores:mychem-info,['Ranking Agent'],"A graph integrating DrugBank, DrugCentral, and Aeolus data as provided by [mychem.info](mychem.info).","[{'description': 'Default server', 'url': 'https://automat.renci.org/mychem/1.1'}]",http://smart-api.info/registry?q=9497b5a8f4f07f504599a72692d14083,,,,,,22
released,,,,,Automat Ontological Hierarchy (trapi v-1.1.0),infores:automat-ontology-hierarchy,https://w3id.org/infores/automat-ontology-hierarchy,,,Information Resource,KP,,['Ranking Agent'],A graph for ontological hierarchy extracted from Uberongraph.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/ontological-hierarchy/1.1'}]",http://smart-api.info/registry?q=2bb65b7ea0cd1d40f4e9147836b750e2,,,,,,23
released,,,,,Automat Panther (trapi v-1.1.0),infores:automat-panther,https://w3id.org/infores/automat-panther,,,Information Resource,KP,infores:panther,['Ranking Agent'],A graph of gene families and pathways from [Panther (pantherdb.org)](pantherdb.org),"[{'description': 'Default server', 'url': 'https://automat.renci.org/panther/1.1'}]",http://smart-api.info/registry?q=540a176f25d912a1c2a066ee2e2428fc,,,,,,24
released,,,,,Automat Pharos (trapi v-1.1.0),infores:automat-pharos,https://w3id.org/infores/automat-pharos,,,Information Resource,KP,infores:phaors,['Ranking Agent'],A graph based on [Pharos (pharos.nih.gov)](pharos.nih.gov).,"[{'description': 'Default server', 'url': 'https://automat.renci.org/pharos/1.1'}]",http://smart-api.info/registry?q=e0031784afd7cb4e97e266d11df3a9e4,,,,,,25
released,What is this?,Ranking Agent,CB: this is is a union of many of the automats,,Automat Robokop KG (trapi v-1.1.0),infores:automat-robokop,https://w3id.org/infores/automat-robokop,,,Information Resource,KP,robokop,['Ranking Agent'],Biomedical Knowledge graph build by constructing relationships from federated data sets.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/robokopkg/1.1'}]",http://smart-api.info/registry?q=4f94c54ada189ecfe08491f662986fd6,,,,,,26
released,,,,,Automat Textmining KP (trapi v-1.1.0),infores:automat-text-mining-provider,https://w3id.org/infores/automat-text-mining-provider,,,Information Resource,KP,biothings-text-mining-provider,['Ranking Agent'],A literature co-occurrence graph created by the Translator Text Mining KP.,"[{'description': 'Default server', 'url': 'https://automat.renci.org/textminingkp/1.1'}]",http://smart-api.info/registry?q=7deb474184d551fdfa69c28a9bc46073,,,,,,27
released,,,,,Automat Uberongraph (trapi v-1.1.0),infores:automat-uberongraph,https://w3id.org/infores/automat-uberongraph,,,Information Resource,KP,,['Ranking Agent'],"A graph representation of Uberongraph, an integration of ontologies including GO, CHEBI, Uberon, and HPO.","[{'description': 'Default server', 'url': 'https://automat.renci.org/uberongraph/1.1'}]",http://smart-api.info/registry?q=994a667dafe2e2c1d42a5390a6fba9aa,,,,,,28
released,,,,,Automat Viral Proteome (trapi v-1.1.0),infores:automat-viral-protome,https://w3id.org/infores/automat-viral-protome,,,Information Resource,KP,"infores:uniref, infores:goa",['Ranking Agent'],"A graph consisting of viral proteins from UniProt, connected by similarity edges from UniRef.","[{'description': 'Default server', 'url': 'https://automat.renci.org/viral-proteome/1.1'}]",http://smart-api.info/registry?q=3437ede0d451c90f67097c56b230e022,,,,,,29
released,,,,,Basic Formal Ontology,infores:bfo,https://w3id.org/infores/bfo,BFO,http://www.obofoundry.org/ontology/bfo.html,Information Resource,KP,,,,,,,,,,,98
released,,,,,Bgee,infores:bgee,https://w3id.org/infores/bgee,,https://bgee.org/,Information Resource,KP,,,,,,,,,,,99
released,,,,,Big Cell Line Association Miner,infores:bigclam,https://w3id.org/infores/bigclam,BigGIM,http://biggim.ncats.io/api/,Information Resource,KP,,,,,,,,,,,100
